query_robot,query_keyframe,candidate_robot,candidate_keyframe,accepted,reason,retrieval_sources,gt_distance_m,gt_within_10m,native_matches,native_inliers,rmse_m,overlap
Alpha,395,Bob,320,False,high_rmse,mapclosures,3.0288512085211865,True,13,8,0.38212952512426057,0.3212482468443198
Alpha,395,Bob,328,True,accepted,megaloc,1.981568166229345,True,44,23,0.32713830623605744,0.5969844109378993
Alpha,396,Bob,329,True,accepted,megaloc,1.9808984176771758,True,23,18,0.329272661239899,0.5929994890137966
Alpha,397,Bob,318,False,high_rmse,mapclosures,3.9328374766225473,True,12,8,0.38007214725163996,0.3228595053747275
Alpha,397,Bob,329,True,accepted,megaloc,1.980729094645318,True,30,24,0.3351422961378311,0.5705160960654062
Alpha,398,Bob,318,False,high_rmse,mapclosures,3.9334162978291682,True,10,9,0.37827813734056825,0.3232353604450124
Alpha,398,Bob,331,True,accepted,megaloc,1.9828542391380137,True,37,17,0.33991229534218775,0.588385776413405
Alpha,399,Bob,320,False,high_rmse,mapclosures,3.0299540011120882,True,9,8,0.3824720872892985,0.32307152875175316
Alpha,399,Bob,331,False,high_rmse,megaloc+mapclosures,1.982694835073142,True,10,7,0.3661819895219386,0.5534274193548387
Alpha,400,Bob,315,False,high_rmse,mapclosures,6.458808724084272,True,10,7,0.37972147602137574,0.33610620956222165
Alpha,400,Bob,327,True,accepted,megaloc,1.984097629381283,True,24,15,0.32037184133085095,0.5580137659783677
Alpha,401,Bob,322,False,high_rmse,megaloc+mapclosures,1.984177311150808,True,10,7,0.3666408441757839,0.3420912243264871
Alpha,401,Bob,331,True,accepted,megaloc,1.9826038136197628,True,29,14,0.34096727832741397,0.5466930889274213
Alpha,402,Bob,316,False,high_rmse,mapclosures,5.414185709729649,True,9,8,0.3779976144083666,0.33746774327811535
Alpha,402,Bob,331,True,accepted,megaloc+mapclosures,1.9825905982686323,True,9,7,0.3407390478390096,0.5271673508814296
Alpha,403,Bob,316,False,high_rmse,mapclosures,5.41538615068677,True,10,7,0.3780217376560805,0.3355531507533505
Alpha,403,Bob,331,False,not_converged,megaloc+mapclosures,1.9829972731105336,True,10,7,0.3437358264294861,0.5350180505415163
Alpha,404,Bob,316,False,high_rmse,mapclosures,5.414203072234365,True,8,8,0.3783230795346293,0.33413801714808955
Alpha,404,Bob,335,False,high_rmse,megaloc,1.9811495414060336,True,16,11,0.36257493392379375,0.5239019655423441
Alpha,405,Bob,336,False,high_rmse,megaloc+mapclosures,1.9836117918593146,True,7,7,0.36565587821987594,0.5212506106497313
Alpha,405,Bob,331,True,accepted,megaloc+mapclosures,1.9844598016833426,True,6,6,0.33586535143947754,0.5636182902584493
Alpha,406,Bob,316,False,high_rmse,mapclosures,5.416649876693336,True,7,7,0.3794406050627428,0.33397153084158826
Alpha,406,Bob,339,True,accepted,megaloc,1.9826225482869324,True,20,12,0.34712058616352703,0.594116180503615
Bob,1,Carol,1,True,accepted,mapclosures,2.5165456650604563,True,13,6,0.3482842461289931,0.38480845442536327
