query_robot,query_keyframe,candidate_robot,candidate_keyframe,accepted,reason,retrieval_sources,gt_distance_m,gt_within_10m,native_matches,native_inliers,rmse_m,overlap
Alpha,113,Carol,105,False,mapclosures_no_pose,megaloc,11.959320754856169,False,18,3,,
Alpha,114,Bob,117,True,accepted,megaloc+mapclosures,6.9209845105950185,True,12,9,0.3345822281054374,0.5725980846462774
Alpha,115,Bob,118,True,accepted,megaloc,6.937395064820237,True,28,13,0.334207258365062,0.5525662583073104
Alpha,116,Carol,110,True,accepted,megaloc,9.869363547975867,True,41,15,0.3360690716432953,0.4574835268277377
Alpha,118,Bob,121,True,accepted,megaloc+mapclosures,7.012063222456603,True,13,6,0.34876820214613746,0.6073059360730594
Alpha,119,Carol,113,True,accepted,megaloc,9.91901426261996,True,21,7,0.3406955453913446,0.4850397381954184
Alpha,121,Bob,123,True,accepted,megaloc+mapclosures,8.087950754175116,True,10,7,0.3372483236163348,0.6199850299401197
Alpha,121,Bob,124,True,accepted,megaloc,7.031468154798661,True,39,15,0.3402267137595178,0.6366379627585191
Alpha,122,Carol,118,True,accepted,megaloc,7.9544869594576975,True,43,23,0.3423900091596861,0.4783474023745796
Alpha,124,Bob,127,True,accepted,megaloc,7.053677543844423,True,40,19,0.34817963468007007,0.6113191549494806
Alpha,125,Bob,127,False,high_rmse,megaloc+mapclosures,8.115014030389958,True,8,6,0.35311317331466147,0.5727407616759698
Alpha,125,Carol,121,True,accepted,megaloc,7.846574231171943,True,34,15,0.3469826132430466,0.4687243361620586
Alpha,127,Bob,130,True,accepted,megaloc,7.197796801708975,True,40,20,0.34323645175717915,0.5863983344899375
Alpha,128,Carol,123,True,accepted,megaloc,8.737365354365684,True,37,18,0.3454202688063919,0.500867728061571
Alpha,129,Carol,124,True,accepted,megaloc+mapclosures,8.712911143334258,True,6,6,0.34334095828058725,0.5261225426451465
Alpha,130,Bob,133,True,accepted,megaloc,7.2515694842687655,True,31,16,0.34638020970434724,0.6258333333333334
Alpha,131,Bob,132,True,accepted,megaloc+mapclosures,9.341942670906588,True,9,6,0.345921104897426,0.5938161217664323
Alpha,131,Carol,126,True,accepted,megaloc,8.661338071608919,True,34,15,0.34155221155264986,0.5307472560517216
Alpha,133,Bob,135,True,accepted,megaloc,8.324966697924806,True,36,17,0.3493411110590647,0.5785661092681605
Alpha,134,Bob,137,False,high_rmse,megaloc+mapclosures,7.319503469830785,True,8,6,0.35189791224502287,0.5868352047334096
Alpha,134,Carol,129,False,high_rmse,megaloc,8.575877013620287,True,36,17,0.3507135072598982,0.5232465883846398
Alpha,135,Carol,131,False,high_rmse,megaloc+mapclosures,7.516179196725067,True,9,7,0.3533538241886104,0.523559793404847
Alpha,136,Bob,139,True,accepted,megaloc+mapclosures,7.366815487096936,True,7,7,0.34513804875697296,0.5771258503401361
Alpha,137,Bob,140,True,accepted,megaloc+mapclosures,7.371489866084111,True,18,11,0.34709091968136935,0.5821006528386083
Alpha,137,Carol,133,True,accepted,megaloc,7.471711607504529,True,41,15,0.348393739817424,0.5176886792452831
Alpha,138,Carol,131,False,high_rmse,megaloc+mapclosures,10.553089519435385,False,10,7,0.35421846882439684,0.4860548271752086
Alpha,139,Bob,142,True,accepted,megaloc+mapclosures,7.323064641233201,True,14,9,0.3455968522824849,0.5953828531148119
Alpha,140,Bob,141,False,high_rmse,megaloc+mapclosures,9.435034764687432,True,13,8,0.35021568887552146,0.5685341789992953
Alpha,140,Carol,136,False,high_rmse,megaloc+mapclosures,7.423591160040386,True,9,7,0.3528610326168623,0.4959882223040118
Alpha,142,Bob,143,True,accepted,megaloc+mapclosures,9.407546441427963,True,17,12,0.3457923309298055,0.5667184649685832
Alpha,142,Carol,136,False,high_rmse,megaloc+mapclosures,9.43803463204556,True,11,8,0.3548910116982113,0.46617592933382407
Alpha,143,Carol,139,True,accepted,megaloc,7.343444200718267,True,42,31,0.3480905317098224,0.5091557669441141
Alpha,143,Bob,146,True,accepted,megaloc+mapclosures,7.230509244574948,True,15,13,0.3446030988381785,0.5959235668789808
Alpha,145,Carol,140,False,high_rmse,megaloc+mapclosures,8.171918004132404,True,11,8,0.3540836583851156,0.49359290290783636
