sequence,i,j,i_stamp_ns,j_stamp_ns,branch,inter_robot,measured_distance_m,gt_distance_m,distance_error_m,distance_flag,rmse_m,overlap,native_inliers,acceptance_gate_violations,cycle_neighbours,cycle_inconsistent_neighbours,cycle_eligible,cycle_flag,cycle_translation_median_m,cycle_rotation_median_deg
Library 1,Alpha:55,Carol:51,1660900437665000000,1660900436927000000,mapclosures,True,8.892537672011608,,,,0.335307304870346,0.6239556225174634,7,,3,0,True,False,0.041409913414260195,0.16014292558102206
Library 1,Alpha:57,Bob:57,1660900439465000000,,mapclosures,True,5.907038305464526,,,,0.3310706239456583,0.7214826021180031,15,,0,0,False,,,
Library 1,Alpha:58,Bob:64,1660900440365000000,1660900443818000000,mapclosures,True,2.4467544011820497,2.004572792413563,0.4421816087684869,False,0.3324965789443344,0.7462322376919764,21,,10,0,True,False,0.03943155749639042,0.07362532939901337
Library 1,Alpha:58,Bob:66,1660900440365000000,1660900444918000000,mapclosures+megaloc,True,2.014572852150929,1.467753567090065,0.5468192850608642,False,0.3242348994961136,0.7501648955661414,16,,10,0,True,False,0.0264995544805579,0.07189985519242792
Library 1,Alpha:58,Bob:69,1660900440365000000,1660900447318000000,mapclosures+megaloc,True,2.8608987550238423,2.661036665031179,0.19986208999266308,False,0.3190852793778939,0.7437907539013847,14,,9,0,True,False,0.032717437782030914,0.10771903118195862
Library 1,Alpha:58,Carol:54,1660900440365000000,,mapclosures,True,8.080290594314826,,,,0.3410562498654377,0.5818789144050104,7,,0,0,False,,,
Library 1,Alpha:60,Bob:59,1660900442165000000,1660900440318000000,mapclosures,True,7.5219826115232795,,,,0.3358111908488879,0.7134878739193635,15,,11,0,True,False,0.04338186412289842,0.08194675274894828
Library 1,Alpha:61,Bob:68,1660900443065000000,1660900446418000000,mapclosures+megaloc,True,2.480237501041145,2.2079136457865234,0.27232385525462144,False,0.3207056135329806,0.770128087831656,12,,10,0,True,False,0.052316383799175636,0.08157113147778774
Library 1,Alpha:61,Carol:58,1660900443065000000,,mapclosures,True,6.77118224701053,,,,0.3420236074318378,0.5845426120420107,12,,0,0,False,,,
Library 1,Alpha:63,Bob:72,,1660900450018000000,mapclosures+megaloc,True,1.26432394582717,0.8293296299759186,0.43499431585125137,False,0.3111186862732426,0.7854126404695441,19,,0,0,False,,,
Library 1,Alpha:65,Bob:71,,1660900449118000000,mapclosures+megaloc,True,3.57148562441541,3.2854921704062376,0.2859934540091724,False,0.31861122520580365,0.7457846952010376,28,,0,0,False,,,
Library 1,Alpha:65,Bob:74,,1660900451818000000,mapclosures+megaloc,True,1.359032856290861,0.8773811291519216,0.48165172713893933,False,0.3090326326786846,0.7720525374990285,18,,0,0,False,,,
